District,State,Growth,Sex_Ratio,Literacy
Aurangabad,Maharashtra,0.2776,923,79.02
Jodhpur,Rajasthan,0.2774,916,65.94
Bijnor,Uttar Pradesh,0.176,917,68.48
Budaun,Uttar Pradesh,0.1995,871,51.29
Varanasi,Uttar Pradesh,0.1715,913,75.6
Alwar,Rajasthan,0.2278,895,70.72
Aligarh,Uttar Pradesh,0.2278,882,67.52
North West Delhi,Delhi,0.2781,865,84.45
Ghazipur,Uttar Pradesh,0.1918,952,71.78
Bankura,West Bengal,0.1265,957,70.26
Kushinagar,Uttar Pradesh,0.232,961,65.25
Ganjam,Orissa,0.1166,983,71.09
Warangal,Andhra Pradesh,0.0821,997,65.11
Birbhum,West Bengal,0.1615,956,70.68
Bulandshahar,Uttar Pradesh,0.2012,896,68.88
Ludhiana,Punjab,0.1536,873,82.2
Vaishali,Bihar,0.2857,895,66.6
Nalgonda,Andhra Pradesh,0.0741,983,64.2
Bahraich,Uttar Pradesh,0.4648,892,49.36
Salem,Tamil Nadu,0.1544,954,72.86
Saharanpur,Uttar Pradesh,0.1966,890,70.49
Viluppuram,Tamil Nadu,0.1684,987,71.88
Coimbatore,Tamil Nadu,0.1856,1000,83.98
Meerut,Uttar Pradesh,0.1489,886,72.84
Gonda,Uttar Pradesh,0.2417,921,58.71
Sitamarhi,Bihar,0.2762,899,52.05
Rae Bareli,Uttar Pradesh,0.1856,943,67.25
Prakasam,Andhra Pradesh,0.1105,981,63.08
Nanded,Maharashtra,0.1686,943,75.45
Durg,Chhattisgarh,0.1898,988,79.06
Siwan,Bihar,0.227,988,69.45
Nagaur,Rajasthan,0.192,950,62.8
Thiruvananthapuram,Kerala,0.0207,1087,93.02
Ernakulam,Kerala,0.0569,1027,95.89
Indore,Madhya Pradesh,0.3288,928,80.87
Purnia,Bihar,0.2833,921,51.08
Barabanki,Uttar Pradesh,0.2196,910,61.75
Ballia,Uttar Pradesh,0.1731,937,70.94
Pratapgarh,Uttar Pradesh,0.175,998,70.09
Thrissur,Kerala,0.0494,1108,95.08
Banaskantha,Gujarat,0.2461,938,65.32
Unnao,Uttar Pradesh,0.1511,907,66.37
Deoria,Uttar Pradesh,0.1431,1017,71.13
Kozhikode,Kerala,0.072,1098,95.08
Mumbai City,Maharashtra,-0.0757,832,89.21
Tirunelveli,Tamil Nadu,0.1297,1023,82.5
Katihar,Bihar,0.2835,919,52.24
Udaipur,Rajasthan,0.2369,958,61.82
Madurai,Tamil Nadu,0.1784,990,83.45
Bhagalpur,Bihar,0.2536,880,63.14
Medak,Andhra Pradesh,0.136,992,61.42
Uttar Dinajpur,West Bengal,0.2315,939,59.07
Shahjahanpur,Uttar Pradesh,0.18,872,59.54
Satara,Maharashtra,0.0693,988,82.87
Mysore,Karnataka,0.1363,985,72.79
Begusarai,Bihar,0.2644,895,63.87
Sri Potti Sriramulu Nellore,Andhra Pradesh,0.1105,985,68.9
Rohtas,Bihar,0.2078,918,73.37
Puruliya,West Bengal,0.1552,957,64.48
Ranchi,Jharkhand,0.2398,949,76.06
Amravati,Maharashtra,0.1079,951,87.38
YSR,Andhra Pradesh,0.1079,985,67.3
Bhavnagar,Gujarat,0.1663,933,75.52
Nalanda,Bihar,0.2139,922,64.43
Nagaon,Assam,0.22,962,72.37
Sangli,Maharashtra,0.0924,966,81.48
Koch Bihar,West Bengal,0.1371,942,74.78
Araria,Bihar,0.3025,921,53.53
Palakkad,Kerala,0.0735,1067,89.31
Khammam,Andhra Pradesh,0.0847,1011,64.81
Yavatmal,Maharashtra,0.1278,952,82.82
Junagadh,Gujarat,0.1205,953,75.8
Adilabad,Andhra Pradesh,0.1018,1001,61.01
South Delhi,Delhi,0.2051,862,86.57
Bhojpur,Bihar,0.2163,907,70.47
Tiruchirappalli,Tamil Nadu,0.1257,1013,83.23
Srikakulam,Andhra Pradesh,0.0652,1015,61.74
Maharajganj,Uttar Pradesh,0.235,943,62.76
Dhanbad,Jharkhand,0.1199,909,74.52
Tumkur,Karnataka,0.0365,984,75.14
Sikar,Rajasthan,0.1703,947,71.91
Bilaspur,Chhattisgarh,0.3329,971,70.78
Kollam,Kerala,0.0194,1113,94.09
Raigarh,Maharashtra,0.1931,959,83.14
Fatehpur,Uttar Pradesh,0.1405,901,67.43
Cuttack,Orissa,0.121,940,85.5
Cuddalore,Tamil Nadu,0.1402,987,78.04
Barmer,Rajasthan,0.3252,902,56.53
Buldana,Maharashtra,0.1585,934,83.4
Bid,Maharashtra,0.1961,916,76.99
Ajmer,Rajasthan,0.184,951,69.33
Gulbarga,Karnataka,0.1801,971,64.85
Gopalganj,Bihar,0.1902,1021,65.47
Siddharth Nagar,Uttar Pradesh,0.2545,976,59.25
Nizamabad,Andhra Pradesh,0.0877,1040,61.25
Bharatpur,Rajasthan,0.2129,880,70.11
Mathura,Uttar Pradesh,0.2278,863,70.36
West Delhi,Delhi,0.1946,875,86.98
Aurangabad,Bihar,0.2618,926,70.32
Kannur,Kerala,0.0473,1136,95.1
Mayurbhanj,Orissa,0.1333,1006,63.17
Firozabad,Uttar Pradesh,0.2169,875,71.92
Mirzapur,Uttar Pradesh,0.18,903,68.48
Amritsar,Punjab,0.1547,889,76.27
Tiruppur,Tamil Nadu,0.2911,989,78.68
Faizabad,Uttar Pradesh,0.1829,962,68.73
Tiruvannamalai,Tamil Nadu,0.1275,994,74.21
Basti,Uttar Pradesh,0.1821,963,67.22
Jabalpur,Madhya Pradesh,0.1451,929,81.07
Latur,Maharashtra,0.1797,928,77.26
Bellary,Karnataka,0.2099,983,67.43
Giridih,Jharkhand,0.2841,944,63.14
Sabarkantha,Gujarat,0.1662,952,75.79
Bhilwara,Rajasthan,0.196,973,61.37
Thanjavur,Tamil Nadu,0.0856,1035,82.64
Ambedkar Nagar,Uttar Pradesh,0.183,978,72.23
PanchMahal,Gujarat,0.1805,949,70.99
Sagar,Madhya Pradesh,0.1763,893,76.46
Bhopal,Madhya Pradesh,0.2862,918,80.37
Rewa,Madhya Pradesh,0.1986,931,71.62
Bikaner,Rajasthan,0.4119,905,65.13
Surguja,Chhattisgarh,0.1966,978,60.01
Vizianagaram,Andhra Pradesh,0.0423,1019,58.89
Rampur,Uttar Pradesh,0.2142,909,53.34
Baleshwar,Orissa,0.1462,957,79.79
Kheda,Gujarat,0.1362,940,82.65
Gurdaspur,Punjab,0.0926,895,79.95
Purbi Singhbhum,Jharkhand,0.1568,949,75.49
South West Delhi,Delhi,0.3065,840,88.28
Erode,Tamil Nadu,0.1166,993,72.58
Khordha,Orissa,0.1994,929,86.88
North East Delhi,Delhi,0.2678,886,83.09
Supaul,Bihar,0.2866,929,57.67
Satna,Madhya Pradesh,0.1919,926,72.26
Nawada,Bihar,0.2263,939,59.76
Mau,Uttar Pradesh,0.1898,979,73.09
Chandrapur,Maharashtra,0.0643,961,80.01
Jalandhar,Punjab,0.1176,915,82.48
Dhar,Madhya Pradesh,0.256,964,59
Bijapur,Karnataka,0.205,960,67.15
Jamnagar,Gujarat,0.1344,939,73.65
Dindigul,Tamil Nadu,0.1231,998,76.26
Balrampur,Uttar Pradesh,0.2772,928,49.51
Jhunjhunun,Rajasthan,0.1167,950,74.13
Alappuzha,Kerala,0.0088,1100,95.72
Dohad,Gujarat,0.2998,990,58.82
Sundargarh,Orissa,0.1435,973,73.34
Anand,Gujarat,0.127,925,84.37
Kachchh,Gujarat,0.3216,908,70.59
Chhindwara,Madhya Pradesh,0.1307,964,71.16
Dakshina Kannada,Karnataka,0.1011,1020,88.57
Bokaro,Jharkhand,0.1601,922,72.01
Dhule,Maharashtra,0.2008,946,72.8
Churu,Rajasthan,0.0601,940,66.75
Pali,Rajasthan,0.1194,987,62.39
Mahesana,Gujarat,0.1073,926,83.61
Banka,Bihar,0.2648,907,58.17
Gwalior,Madhya Pradesh,0.245,864,76.65
Pilibhit,Uttar Pradesh,0.2345,895,61.47
Firozpur,Punjab,0.1621,893,68.92
Madhepura,Bihar,0.3112,911,52.25
Jhansi,Uttar Pradesh,0.1454,890,75.05
Ujjain,Madhya Pradesh,0.1612,955,72.34
Kottayam,Kerala,0.0107,1039,97.21
Ganganagar,Rajasthan,0.1004,887,69.64
Morena,Madhya Pradesh,0.2344,840,71.03
Jalna,Maharashtra,0.2146,937,71.52
Chandauli,Uttar Pradesh,0.1883,918,71.48
Kota,Rajasthan,0.2439,911,76.56
Dhubri,Assam,0.2444,953,58.34
Davanagere,Karnataka,0.0863,972,75.74
Virudhunagar,Tamil Nadu,0.1091,1007,80.15
Palamu,Jharkhand,0.2617,928,63.63
Raichur,Karnataka,0.1551,1000,59.56
Sonitpur,Assam,0.1555,956,67.34
Saharsa,Bihar,0.2602,906,53.2
Patiala,Punjab,0.1962,891,75.28
Haridwar,Uttarakhand,0.3063,880,73.43
Bagalkot,Karnataka,0.144,989,68.82
Farrukhabad,Uttar Pradesh,0.2005,874,69.04
Krishnagiri,Tamil Nadu,0.2041,958,71.46
West Nimar,Madhya Pradesh,0.2285,965,62.7
Kanniyakumari,Tamil Nadu,0.116,1019,91.75
Mainpuri,Uttar Pradesh,0.1702,881,75.99
Sonbhadra,Uttar Pradesh,0.2727,918,64.03
Dharwad,Karnataka,0.1513,971,80
Darjiling,West Bengal,0.1477,970,79.56
Jyotiba Phule Nagar,Uttar Pradesh,0.2276,910,63.84
Parbhani,Maharashtra,0.2019,947,73.34
Jalor,Rajasthan,0.2621,952,54.86
Jajapur,Orissa,0.1249,973,80.13
Akola,Maharashtra,0.1127,946,88.05
Faridabad,Haryana,0.3254,873,81.7
Mandya,Karnataka,0.0238,995,70.4
Kendujhar,Orissa,0.1535,988,68.24
Banda,Uttar Pradesh,0.1705,863,66.67
Banswara,Rajasthan,0.2653,980,56.33
Ramabai Nagar,Uttar Pradesh,0.1489,865,75.78
Hassan,Karnataka,0.0318,1010,76.07
Hanumangarh,Rajasthan,0.1691,906,67.13
Etah,Uttar Pradesh,0.1362,873,70.81
Chhattarpur,Madhya Pradesh,0.1951,883,63.74
Jamui,Bihar,0.2585,922,59.79
Surendranagar,Gujarat,0.1591,930,72.13
Shimoga,Karnataka,0.0671,998,80.45
Thoothukkudi,Tamil Nadu,0.1132,1023,86.16
Hisar,Haryana,0.1345,872,72.89
Cachar,Assam,0.2019,959,79.34
Hazaribagh,Jharkhand,0.2065,947,69.75
Namakkal,Tamil Nadu,0.1561,986,74.63
Shivpuri,Madhya Pradesh,0.2276,877,62.55
West Tripura,Tripura,0.1257,962,88.69
Sant Kabir Nagar,Uttar Pradesh,0.2077,972,66.72
East Delhi,Delhi,0.1679,884,89.31
Buxar,Bihar,0.2167,922,70.14
Valsad,Gujarat,0.2092,922,78.55
Bidar,Karnataka,0.1337,956,70.51
Bhind,Madhya Pradesh,0.1921,837,75.26
Balaghat,Madhya Pradesh,0.136,1021,77.09
Puri,Orissa,0.1305,963,84.67
Dehradun,Uttarakhand,0.3233,902,84.25
Barpeta,Assam,0.2143,953,63.81
Kishanganj,Bihar,0.304,950,55.46
Jalaun,Uttar Pradesh,0.1619,865,73.75
Dakshin Dinajpur,West Bengal,0.1152,956,72.82
Khagaria,Bihar,0.3019,886,57.92
Chitradurga,Karnataka,0.0933,974,73.71
Osmanabad,Maharashtra,0.115,924,78.44
Kannauj,Uttar Pradesh,0.1927,879,72.7
Sangrur,Punjab,0.1235,885,67.99
Balangir,Orissa,0.2332,987,64.72
Udham Singh Nagar,Uttarakhand,0.3345,920,73.1
Nandurbar,Maharashtra,0.2566,978,64.38
Gautam Buddha Nagar,Uttar Pradesh,0.3711,851,80.12
Bhiwani,Haryana,0.147,886,75.21
Dausa,Rajasthan,0.2409,905,68.16
Kaimur,Bihar,0.2617,920,69.34
Janjgir Champa,Chhattisgarh,0.2294,986,73.07
Pudukkottai,Tamil Nadu,0.1088,1015,77.19
Nagapattinam,Tamil Nadu,0.0857,1025,83.59
Ratnagiri,Maharashtra,-0.0482,1122,82.18
Kaushambi,Uttar Pradesh,0.237,908,61.28
Haveri,Karnataka,0.1102,950,77.4
Hoshiarpur,Punjab,0.0711,961,84.59
Etawah,Uttar Pradesh,0.1815,870,78.41
Sant Ravidas Nagar,Uttar Pradesh,0.1658,955,68.97
Kalahandi,Orissa,0.1807,1003,59.22
Betul,Madhya Pradesh,0.1292,971,68.9
Mahamaya Nagar,Uttar Pradesh,0.1712,871,71.59
Dewas,Madhya Pradesh,0.1953,942,69.35
Bharuch,Gujarat,0.1316,925,81.51
Rajgarh,Madhya Pradesh,0.2326,956,61.21
Chittaurgarh,Rajasthan,0.1608,972,61.71
Rajnandgaon,Chhattisgarh,0.1979,1015,75.96
Kolar,Karnataka,0.1077,979,74.39
Jammu,Jammu and Kashmir,0.1274,880,83.45
Kamrup,Assam,0.1569,949,75.55
Gurgaon,Haryana,0.7396,854,84.7
Amreli,Gujarat,0.0863,964,74.25
Shajapur,Madhya Pradesh,0.172,938,69.09
Kangra,Himachal Pradesh,0.1277,1012,85.67
Dharmapuri,Tamil Nadu,0.1634,946,68.54
Bhadrak,Orissa,0.1294,981,82.78
Karnal,Haryana,0.1814,887,74.73
Pashchimi Singhbhum,Jharkhand,0.2175,1005,58.63
Raigarh,Chhattisgarh,0.1805,991,73.26
Deoghar,Jharkhand,0.2803,925,64.85
Bargarh,Orissa,0.1002,977,74.62
Vidisha,Madhya Pradesh,0.2009,896,70.53
Karauli,Rajasthan,0.2055,861,66.22
Ratlam,Madhya Pradesh,0.1972,971,66.78
Sonipat,Haryana,0.1335,856,79.12
Tikamgarh,Madhya Pradesh,0.2013,901,61.43
Kendrapara,Orissa,0.1063,1007,85.15
Uttara Kannada,Karnataka,0.0617,979,84.06
Kanshiram Nagar,Uttar Pradesh,0.1693,880,61.02
Tonk,Rajasthan,0.173,952,61.58
Bastar,Chhattisgarh,0.1796,1023,54.4
Jhalawar,Rajasthan,0.1955,946,61.5
Gandhinagar,Gujarat,0.0429,923,84.16
Koppal,Karnataka,0.1621,986,68.09
Dungarpur,Rajasthan,0.2536,994,59.46
Bathinda,Punjab,0.1734,868,68.28
Barwani,Madhya Pradesh,0.2757,982,49.08
Koraput,Orissa,0.1686,1032,49.21
Auraiya,Uttar Pradesh,0.1691,864,78.95
Seoni,Madhya Pradesh,0.1822,982,72.12
Munger,Bihar,0.2021,876,70.46
Ramanathapuram,Tamil Nadu,0.1396,983,80.72
Patan,Gujarat,0.1361,935,72.3
Mandsaur,Madhya Pradesh,0.1324,963,71.78
Sivaganga,Tamil Nadu,0.159,1003,79.85
Sawai Madhopur,Rajasthan,0.1956,897,65.39
Jind,Haryana,0.1213,871,71.44
Raisen,Madhya Pradesh,0.1835,901,72.98
Navsari,Gujarat,0.0815,961,83.88
Tinsukia,Assam,0.1547,952,69.66
Dibrugarh,Assam,0.1192,961,76.05
Garhwa,Jharkhand,0.2775,935,60.33
Gondiya,Maharashtra,0.1014,999,84.95
Dumka,Jharkhand,0.1942,977,61.02
Godda,Jharkhand,0.2535,938,56.4
Sehore,Madhya Pradesh,0.2154,918,70.06
East Nimar,Madhya Pradesh,0.215,943,66.39
Kasaragod,Kerala,0.0858,1080,90.09
Baghpat,Uttar Pradesh,0.1195,861,72.01
Wardha,Maharashtra,0.0518,946,86.99
Sirsa,Haryana,0.1599,897,68.82
Katni,Madhya Pradesh,0.2141,952,71.98
Anugul,Orissa,0.1174,943,77.53
Thiruvarur,Tamil Nadu,0.0811,1017,82.86
Damoh,Madhya Pradesh,0.1663,910,69.73
Chikkaballapura,Karnataka,0.0923,972,69.76
Kamrup Metropolitan,Assam,0.1834,936,88.71
Theni,Tamil Nadu,0.1389,991,77.26
Guna,Madhya Pradesh,0.2697,912,63.23
Hoshangabad,Madhya Pradesh,0.1449,914,75.29
Srinagar,Jammu and Kashmir,0.2035,900,69.41
Karimganj,Assam,0.219,963,78.22
Baran,Rajasthan,0.1968,929,66.66
Lalitpur,Uttar Pradesh,0.2494,906,63.52
Nabarangapur,Orissa,0.1903,1019,46.43
Yamunanagar,Haryana,0.1657,877,77.99
Korba,Chhattisgarh,0.1925,969,72.37
Dhaulpur,Rajasthan,0.2271,846,69.08
Panipat,Haryana,0.246,864,75.94
Bhandara,Maharashtra,0.0565,982,83.76
Pathanamthitta,Kerala,-0.0297,1132,96.55
Washim,Maharashtra,0.1734,930,83.25
Dhenkanal,Orissa,0.118,947,78.76
Singrauli,Madhya Pradesh,0.2805,920,60.41
Udupi,Karnataka,0.0585,1094,86.24
Hingoli,Maharashtra,0.1927,942,78.17
Yadgir,Karnataka,0.2281,989,51.83
Rajsamand,Rajasthan,0.1718,990,63.14
Sivasagar,Assam,0.0944,954,80.41
Sahibganj,Jharkhand,0.2401,952,52.04
Chikmagalur,Karnataka,-0.0026,1008,79.25
Jagatsinghapur,Orissa,0.075,968,86.59
Ambala,Haryana,0.1123,885,81.75
Sidhi,Madhya Pradesh,0.2372,957,64.43
Jehanabad,Bihar,0.2168,922,66.8
Tarn Taran,Punjab,0.1923,900,67.81
Shrawasti,Uttar Pradesh,-0.0502,881,46.74
Bundi,Rajasthan,0.154,925,61.52
Idukki,Kerala,-0.0179,1006,91.99
Hamirpur,Uttar Pradesh,0.058,861,68.77
Jorhat,Assam,0.0931,962,82.15
Narsimhapur,Madhya Pradesh,0.1401,920,75.69
Mewat,Haryana,0.3793,907,54.08
Ramanagara,Karnataka,0.0505,976,69.22
Anantnag,Jammu and Kashmir,0.3858,927,62.69
Kaithal,Haryana,0.1355,881,69.15
Gadchiroli,Maharashtra,0.1058,982,74.36
Golaghat,Assam,0.1275,964,77.43
Shahdol,Madhya Pradesh,0.1739,974,66.67
Saraikela Kharsawan,Jharkhand,0.2547,956,67.7
Gadag,Karnataka,0.0954,982,75.12
Karur,Tamil Nadu,0.1377,1015,75.6
Rohtak,Haryana,0.1288,867,80.22
Chandigarh,Chandigarh,0.1719,818,86.05
Mandla,Madhya Pradesh,0.1797,1008,66.87
Chatra,Jharkhand,0.3177,953,60.18
Palwal,Haryana,0.2576,880,69.32
Lakhimpur,Assam,0.1722,968,77.2
Sambalpur,Orissa,0.1127,976,76.22
Sirohi,Rajasthan,0.2176,940,55.25
Mahasamund,Chhattisgarh,0.2005,1017,71.02
Gumla,Jharkhand,0.2316,993,65.73
Jhabua,Madhya Pradesh,0.307,990,43.3
Chamarajanagar,Karnataka,0.0573,993,61.43
Panna,Madhya Pradesh,0.1867,905,64.79
Goalpara,Assam,0.2264,964,67.37
Baramula,Jammu and Kashmir,0.1945,885,64.63
Lakhisarai,Bihar,0.2477,902,62.42
Mandi,Himachal Pradesh,0.1092,1007,81.53
Moga,Punjab,0.1128,893,70.68
Mohali,Punjab,0.3315,879,83.8
Chitrakoot,Uttar Pradesh,0.2943,879,65.05
Bangalore Rural,Karnataka,0.1645,946,77.93
Rayagada,Orissa,0.1646,1051,49.76
Kurukshetra,Haryana,0.1686,888,76.31
Nayagarh,Orissa,0.1137,915,80.42
Jhajjar,Haryana,0.089,862,80.65
Morigaon,Assam,0.2334,967,68.03
Karbi Anglong,Assam,0.1758,951,69.25
Nainital,Uttarakhand,0.2513,934,83.88
Puducherry,Puducherry,0.2923,1029,85.44
Baksa,Assam,0.1074,974,69.25
Ramgarh,Jharkhand,0.131,921,73.17
Fatehabad,Haryana,0.1685,902,67.92
Darrang,Assam,0.2219,954,63.08
Mahendragarh,Haryana,0.1348,895,77.72
Muktsar,Punjab,0.16,896,65.81
Pakur,Jharkhand,0.2833,989,48.82
Rewari,Haryana,0.1764,898,80.99
North Delhi,Delhi,0.1362,869,86.85
Kokrajhar,Assam,0.0521,959,65.22
South Tripura,Tripura,0.1415,957,84.66
Mahoba,Uttar Pradesh,0.2364,878,65.27
Kupwara,Jammu and Kashmir,0.3382,835,64.51
Pratapgarh,Rajasthan,0.2278,983,55.97
Jashpur,Chhattisgarh,0.146,1005,67.92
Sindhudurg,Maharashtra,-0.0221,1036,85.56
Ashoknagar,Madhya Pradesh,0.2266,904,66.42
Udalguri,Assam,0.0961,973,65.41
Neemuch,Madhya Pradesh,0.1377,954,70.8
East Khasi Hills,Meghalaya,0.2496,1011,84.15
Kabirdham,Chhattisgarh,0.4071,996,60.85
North Goa,Goa,0.0784,963,89.57
Wayanad,Kerala,0.0471,1035,89.03
Kapurthala,Punjab,0.0804,912,79.07
Shimla,Himachal Pradesh,0.1267,915,83.64
Tapi,Gujarat,0.1214,1007,68.26
Dhamtari,Chhattisgarh,0.1319,1010,78.36
Jamtara,Jharkhand,0.2112,954,64.59
Datia,Madhya Pradesh,0.1846,873,72.63
Nalbari,Assam,0.1199,949,78.63
Mansa,Punjab,0.1176,883,61.83
Burhanpur,Madhya Pradesh,0.1937,951,64.36
Ariyalur,Tamil Nadu,0.0854,1015,71.34
Badgam,Jammu and Kashmir,0.2414,894,56.08
Anuppur,Madhya Pradesh,0.123,976,67.88
Kanker,Chhattisgarh,0.1506,1006,70.29
Bongaigaon,Assam,0.2059,966,69.74
The Nilgiris,Tamil Nadu,-0.0351,1042,85.2
Kandhamal,Orissa,0.131,1037,64.13
Alirajpur,Madhya Pradesh,0.1945,1011,36.1
Latehar,Jharkhand,0.2961,967,59.51
Kodarma,Jharkhand,0.4342,950,66.84
Dindori,Madhya Pradesh,0.2132,1002,63.9
Arwal,Bihar,0.1889,928,67.43
North Tripura,Tripura,0.1744,967,87.5
Sheopur,Madhya Pradesh,0.2294,901,57.43
Pauri Garhwal,Uttarakhand,-0.0141,1103,82.02
Dhemaji,Assam,0.1997,953,72.7
Rupnagar,Punjab,0.0887,915,82.19
Jaisalmer,Rajasthan,0.3181,852,57.22
Hailakandi,Assam,0.2145,951,74.33
Korea,Chhattisgarh,0.1238,968,70.64
Sheohar,Bihar,0.2719,893,53.78
Umaria,Madhya Pradesh,0.2496,950,65.89
West Garo Hills,Meghalaya,0.2409,984,67.58
Rajouri,Jammu and Kashmir,0.3293,860,68.17
South Goa,Goa,0.0873,986,87.59
Sheikhpura,Bihar,0.2109,930,63.86
Almora,Uttarakhand,-0.0128,1139,80.47
Tehri Garhwal,Uttarakhand,0.0235,1077,76.36
Faridkot,Punjab,0.1209,890,69.55
Kathua,Jammu and Kashmir,0.2053,890,73.09
Malkangiri,Orissa,0.2162,1020,48.54
Shahid Bhagat Singh Nagar,Punjab,0.0423,954,79.78
Nuapada,Orissa,0.1502,1021,57.35
Subarnapur,Orissa,0.1261,960,74.42
Fatehgarh Sahib,Punjab,0.1146,871,79.35
Simdega,Jharkhand,0.1658,997,67.99
Barnala,Punjab,0.1302,876,67.82
Narmada,Gujarat,0.1475,961,72.31
Porbandar,Gujarat,0.0906,950,75.78
Central Delhi,Delhi,-0.0991,892,85.14
Solan,Himachal Pradesh,0.1593,880,83.68
Jharsuguda,Orissa,0.1369,953,78.86
Gajapati,Orissa,0.1137,1043,53.49
Harda,Madhya Pradesh,0.2025,935,72.5
Perambalur,Tamil Nadu,0.145,1003,74.32
Panchkula,Haryana,0.1983,873,81.88
Pulwama,Jammu and Kashmir,0.27,912,63.48
Udhampur,Jammu and Kashmir,0.2078,870,68.49
Kodagu,Karnataka,0.0109,1019,82.61
Dantewada,Chhattisgarh,0.1208,1020,42.12
Khunti,Jharkhand,0.2232,997,63.86
Sirmaur,Himachal Pradesh,0.1554,918,78.8
Una,Himachal Pradesh,0.1626,976,86.53
Chamba,Himachal Pradesh,0.1263,986,72.17
Imphal West,Manipur,0.1656,1031,86.08
Pithoragarh,Uttarakhand,0.0458,1020,82.25
Chirang,Assam,0.1134,969,63.55
Senapati,Manipur,0.6894,937,63.6
Punch,Jammu and Kashmir,0.2797,893,66.74
Lohardaga,Jharkhand,0.2668,985,67.61
Imphal East,Manipur,0.1551,1017,81.95
Hamirpur,Himachal Pradesh,0.1019,1095,88.15
Baudh,Orissa,0.1816,991,71.61
Kullu,Himachal Pradesh,0.1476,942,79.4
Kulgam,Jammu and Kashmir,0.0773,951,59.23
Thoubal,Manipur,0.1594,1002,74.47
Doda,Jammu and Kashmir,0.28,919,64.68
Aizawl,Mizoram,0.2292,1009,97.89
Jaintia Hills,Meghalaya,0.321,1013,61.64
Bandipora,Jammu and Kashmir,0.2865,889,56.28
Chamoli,Uttarakhand,0.0574,1019,82.65
